SimNr;Rep;Ni;r;K;N_A_fix;N_a_fix;N_B_fix;N_b_fix;s_A;s_B;attempts;h_A;h_B;p_A_i;p_B_i;Prob_A_fix;sd_A_fix;Aver_A_gen;sd_A_gen;Prob_a_fix;sd_a_fix;Aver_a_gen;sd_a_gen;Prob_B_fix;sd_B_fix;Aver_B_gen;sd_B_gen;Prob_b_fix;sd_b_fix;Aver_b_gen;sd_b_gen;Total_Gens
1;1;10;0.06;1000;891.98;639.11;901.04;655.86;0.03;0.02;1000;0.50000000;0.50000000;0.50000000;0.50000000;0.87100000;0.01059995;251.02066590;185.96712062;0.12900000;0.01059995;22.63565891;20.45791217;0.83000000;0.01187855;364.88072289;260.84673336;0.17000000;0.01187855;29.42941176;30.53942996;395.43
1;2;10;0.06;1000;904.66;711.80;919.69;639.38;0.03;0.02;1000;0.50000000;0.50000000;0.50000000;0.50000000;0.87300000;0.01052953;253.61397480;186.86151131;0.12700000;0.01052953;21.22047244;18.92251643;0.85900000;0.01100541;355.94062864;257.95668833;0.14100000;0.01100541;36.84397163;52.32770223;400.84
1;3;10;0.06;1000;914.21;687.21;917.35;695.91;0.03;0.02;1000;0.50000000;0.50000000;0.50000000;0.50000000;0.88800000;0.00997276;264.38738739;188.08238305;0.11200000;0.00997276;30.66964286;38.05902099;0.87100000;0.01059995;345.26865672;257.31011889;0.12900000;0.01059995;38.19379845;79.07263637;404.59
1;4;10;0.06;1000;900.83;732.74;904.68;721.19;0.03;0.02;1000;0.50000000;0.50000000;0.50000000;0.50000000;0.86900000;0.01066954;258.28768700;185.09207760;0.13100000;0.01066954;28.33587786;30.02075890;0.85900000;0.01100541;348.51455180;261.88706381;0.14100000;0.01100541;30.04255319;34.80663350;401.49
1;5;10;0.06;1000;902.67;669.31;918.94;640.77;0.03;0.02;1000;0.50000000;0.50000000;0.50000000;0.50000000;0.87900000;0.01031305;247.15585893;181.74287569;0.12100000;0.01031305;25.94214876;24.97016319;0.84000000;0.01159310;356.54285714;267.48978720;0.16000000;0.01159310;29.02500000;38.16722252;394.65
1;6;10;0.06;1000;913.30;739.13;926.44;688.18;0.03;0.02;1000;0.50000000;0.50000000;0.50000000;0.50000000;0.87300000;0.01052953;251.27262314;174.40146414;0.12700000;0.01052953;23.63779528;20.64345592;0.85200000;0.01122925;365.30164319;259.45926860;0.14800000;0.01122925;31.37162162;37.93331282;402.13
1;7;10;0.06;1000;908.99;726.78;912.40;722.81;0.03;0.02;1000;0.50000000;0.50000000;0.50000000;0.50000000;0.87200000;0.01056485;252.52637615;176.12477135;0.12800000;0.01056485;26.89843750;27.21667683;0.85900000;0.01100541;358.44935972;258.60573717;0.14100000;0.01100541;39.10638298;60.34072312;399.78
1;8;10;0.06;1000;917.96;702.99;923.84;718.51;0.03;0.02;1000;0.50000000;0.50000000;0.50000000;0.50000000;0.88600000;0.01005007;254.69413093;182.19375527;0.11400000;0.01005007;21.50877193;22.37842226;0.85200000;0.01122925;349.05516432;247.39475025;0.14800000;0.01122925;28.27702703;33.11911772;394.29
1;9;10;0.06;1000;910.10;648.44;911.77;656.88;0.03;0.02;1000;0.50000000;0.50000000;0.50000000;0.50000000;0.87100000;0.01059995;252.32835821;186.83181927;0.12900000;0.01059995;23.65891473;17.64837262;0.86100000;0.01093979;350.61324042;258.67413706;0.13900000;0.01093979;32.10071942;43.36631570;398.40
1;10;10;0.06;1000;902.63;672.83;897.74;727.12;0.03;0.02;1000;0.50000000;0.50000000;0.50000000;0.50000000;0.87700000;0.01038610;259.38312429;182.64973324;0.12300000;0.01038610;24.77235772;19.91315005;0.86300000;0.01087341;337.85747393;257.30981787;0.13700000;0.01087341;31.40145985;46.75662408;393.96
1;11;10;0.06;1000;898.11;699.65;911.88;665.62;0.03;0.02;1000;0.50000000;0.50000000;0.50000000;0.50000000;0.88200000;0.01020176;248.72222222;181.50314973;0.11800000;0.01020176;27.05084746;28.53984650;0.84900000;0.01132250;360.69729093;259.29635964;0.15100000;0.01132250;27.64900662;35.72507211;398.55
1;12;10;0.06;1000;912.91;612.63;903.98;733.82;0.03;0.02;1000;0.50000000;0.50000000;0.50000000;0.50000000;0.88300000;0.01016420;256.84597961;179.15253203;0.11700000;0.01016420;26.12820513;27.49935150;0.84600000;0.01141420;352.51300236;262.22580041;0.15400000;0.01141420;28.09090909;40.84169051;397.86
